"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Наличие ЕМТС";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Василеостровский";"Музей";"Корабль-музей ""Штандарт""";"Корабль-музей ""Штандарт""";"Матрусь Владимир Вячеславович";"г.Санкт-Петербург, Шкиперский проток, дом 12 (Шкиперский проток, д.10)";"+7(921)303-72-15, 235-73-98, 921 907 5721";"Ежедневно с 10:00 до 20:00.";"7801123631";"1037800004990";"";"shtandart.com@nwgsm.ru, question@shandart.ru";"www.shtandart.com";"";"";"235-73-98";"Санкт-Петербург, 18-я линия, д. 15, лит. А, пом. 6Н";"";"НП Проект ""Штандарт""";"";"Зимой Корабль стоит в Круглом Ковше Галерной Гавани на Васильевском острове , рядом с музеем ""Подводная лодка ""Народоволец"".";"";
"Петродворцовый";"Музей";"Дворец Петра III";"Ораниембаумский Дворец Петра III. Дворцово-парковый ансамбль Ораниенбаум";"Воротников Виктор Андреевич";"188512, Санкт-Петербург, город Ломоносов, Верхний парк, дом 2, литер А";"422-37-56, 422-37-53, 423-16-37";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"www.oranienbaum.org";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"ж/д станция ""Ораниенбаум-1""";"";"город Ломоносов";
"Петродворцовый";"Музей";"Китайский дворец";"Китайский дворец. Дворцово-парковый ансамбль Ораниенбаум";"Воротников Виктор Андреевич";"189510, Санкт-Петербург, город Ломоносов, Верхний парк, дом 7, литер А";"422-37-53, 422-37-53, 423-16-37";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"www.oranienbaum.org";"Филиал";"";"450-52-87";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"ж/д станция ""Ораниенбаум-1""";"";"город Ломоносов";
"Центральный";"Музей";"Русский музей";"Федеральное государственное учреждение культуры ""Государственный Русский музей""";"Гусев Владимир Александрович";"191011, г.Санкт-Петербург, Инженерная улица, дом 2-4, литер Д";"595-42-48, 314-83-68, 314-34-48";"С 10.00 до 18.00, в понедельник с 10.00 до 17.00";"7830002230";"1037843029883";"";"press@rusmuseum.ru, info@rusmuseum.ru";"www.rusmuseum.ru";"Основное, есть филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Федеральное агентство по культуре и кинематографии";"Невский Проспект, ""Гостиный двор""";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей истории РГПУ им. А.И.Герцена";"Музей истории Российского государственного педагогического университета им. А.И.Герцена";"Колосова Екатерина Матвеевна";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 48-50-52, литер А";"571-71-54";"Вторник, среда, пятница с 10.00 до 16.00. Внимание:только по предварительной договоренности";"7808027849";"1027809233429";"";"nich@herzen.spb.ru";"http://www.museum.ru/M204";"Филиал";"";"";"Санкт-Петербург, Реки Мойки наб, д. 48";"";"Педагогический университет им. А.И.Герцена";"Невский Проспект, ""Гостиный двор""";"";"муниципальный округ №78";
"Центральный";"Музей";"Литературный музей ""ХХ век"". Музей Михаила Зощенко";"Санкт-Петербургское государственное учреждение культуры "" Государственный литературный музей ""ХХ век"". Музей Михаила Зощенко";"Ольховская Ирина Валерьевна";"191186, г.Санкт-Петербург, Малая Конюшенная улица, дом 4/2, литер И";"572-4880, 571-7819";"";"7825121827";"1037858006482";"";"zoschenko@hotmail.ru";"";"";"";"572-4880, 571-7819";"191186, г.Санкт-Петербург, Малая Конюшенная улица, дом 4/2, литер И";"";"Комитет по культуре";"";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей-квартира путешественника П.К.Козлова";"Мемориальный музей-квартира путешественника П.К.Козлова";"";"193124, г.Санкт-Петербург, Смольный проспект, дом 6, литер А, кв. 32";"271-98-32, 710-03-50, 577-12-43";"Вторник-пятница 12.00-17.00";"7813157593";"1027806868176";"";"";"http://kozlov-museum.ru/museum/";"Филиал";"";"";"Санкт-Петербург, Петрозаводская ул, д. 7";"";"Санкт-Петербургский институт истории РАН";"Чернышевская";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Государственный Эрмитаж";"Федеральное государственное учреждение культуры ""Государственный Эрмитаж"". Главный музейный комплекс.";"Пиотровский Михаил Борисович";"191186, г.Санкт-Петербург, Дворцовая набережная, дом 38, литер А";"571-34-20, 710-96-25, 710-90-79, 571-34-65";"Вторник - суббота: 10.30 - 18.00, воскресенье: 10.30 - 17.00, выходной день - понедельник";"7830002416";"1037843031808";"";"visitorservices@hermitage.ru";"http://www.hermitagemuseum.or";"Основное, есть филиал";"";"";"Санкт-Петербург, Дворцовая наб, д. 34";"";"Правительство Российской Федерации";"Невский проспект, Гостинный двор, Адмиралтейская (еще не открыта)";"";"муниципальное образование Дворцовый округ";
"Василеостровский";"Музей";"Центральный Военно-Морской музей МО РФ";"Федеральное государственное учреждение культуры и искусства ""Центральный военно-морской музей"" Министерства обороны Российской Федерации";"Лялин Андрей Яковлевич (ИО)";"г.Санкт-Петербург, Биржевая площадь, дом 4";"328-25-01, 328-25-02";"Среда - воскресенье с 11:00 до 18:00. Понедельник, вторник, последний четверг месяца - выходной.";"7801018179";"1037800001777";"";"info@navalmuseum.ru";"www.museum.navy.ru";"Основное, есть филиал";"";"328-25-01";"г.Санкт-Петербург, Биржевая площадь, дом 4";"";"Министерство обороны РФ";"Василеостровская, Спортивная, Невский проспект, Адмиралтейская (строится)";"Музей переезжает по адресу г.Санкт-Петербург, Большая Морская улица, дом 69, литер А";"муниципальный округ №7";
"Петроградский";"Музей";"Музей-квартира С.М.Кирова";"Музей-квартира С.М.Кирова. Санкт-Петербургское государственное учреждение культуры ""Государственный Музей истории Санкт-Петербурга"".";"Колякин Александр Николаевич";"197101, г.Санкт-Петербург, Каменноостровский проспект, дом 26-28, литер А";"346-02-17, 346-02-89";"";"7813080598";"1037828028677";"";"kirovcm@yandex.ru";"http://www.spbmuseum.ru/kirov/info/";"Филиал";"";"346-02-89";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Петроградская";"";"муниципальный округ №59";
"Василеостровский";"Музей";"Петербургский музей кукол";"Некоммерческое учреждение Петербургский музей кукол";"Варенюк Галина Николаевна";"199048, г.Санкт-Петербург, Камская улица, дом 8/90, литер А";"321-78-69, 327-72-24";"С10 часов до 18 часов, без выходных";"7801113295";"1027800507492";"";"museum@russiandolls.ru, buy@russiandools.ru";"www.museumdolls.ru";"";"";"321-78-69";"Санкт-Петербург, Камская ул, д. 8";"";"";"Василеостровская";"";"муниципальный округ Васильевский";
"Василеостровский";"Музей";"Пожарно-техническая выставка им. Б. И. Кончаева";"Пожарно-техническая выставка им. Б.И.Кончаева ((Главное управление МЧС России)";"Ткачева Нина Ивановна";"199026, г.Санкт-Петербург, Большой проспект В.О., дом 73, литер А";"718-26-94, 321-32-47";"";"7804181582";"1047806039236";"";"M234@mail.museum.ru";"http://www.museum.ru/M234";"Филиал";"";"";"Санкт-Петербург, Металлистов пр-кт, д. 119";"";"Северо-Западный региональный центр МЧС России";"Василеостровская";"";"муниципальный округ №7";
"Центральный";"Музей";"Музей декоративно-прикладного искусства";"Музей декоративно-прикладного искусства, Санкт-Петербургской государственной художественно-промышленной академии";"Бартенев Александр Игоревич";"191028, г.Санкт-Петербург, Соляной переулок, дом 13-15, литер В";"273-32-58, 273-38-04, 273-59-03";"Ежедневно с 11.00 до 17.00, кроме воскресенья, понедельника и последней пятницы каждого месяца";"7825072672";"1027809216600";"15000";"info@stieglitzmuseum.ru";"http://stieglitzmuseum.ru";"Филиал";"";"";"Санкт-Петербург, Соляной пер, д. 13";"";"Санкт-Петербургская государственная художественно-промышленная академия имени А. Л. Штиглица";"Чернышевская, Невский пр-т, Гостиный двор";"";"муниципальное образование Литейный округ";
"Петроградский";"Музей";"Музей политической истории России";"Федеральное государственное учреждение культуры ""Государственный музей политической истории России""";"Артемов Евгений Григорьевич";"197046, г.Санкт-Петербург, улица Куйбышева, дом 2-4, литер А";"233-70-48, 233-70-52";"с 10:00 до 18:00 Выходной день - четверг.";"7813045498";"1037828006897";"";"polithist@cards.lanck.net";"http://www.polithistory.ru/, www.museum.ru/museum/polit_his";"Основное, есть филиал";"";"233-73-00";"197046, г.Санкт-Петербург, улица Куйбышева, дом 2-4";"";"Федеральное агентство по культуре и кинематографии";"Горьковская";"";"";
"Центральный";"Музей";"Чайный домик";"Чайный домик, музей Летнего Сада";"Гусев Владимир Александрович";"191041, г.Санкт-Петербург, Летний сад, литер В";"314-03-74";"";"7830002230";"1037843029883";"";"";"http://www.rusmuseum.ru/ru";"Филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Летний сад, филиал Государственного Русского музея";"Невский Проспект, Гостиный двор";"";"";
"Центральный";"Музей";"Храм Воскресения Христова (Спас на крови)";"Храм Воскресения Христова (Спас на крови). Государственный музей-памятник «Исаакиевский собор»";"Буров Николай Витальевич";"191011, г.Санкт-Петербург, набережная канала Грибоедова, дом 2б, литер А";"315-16-36";"Ежедневно, кроме среды. С 16 сентября по 30 апреля с 11.00 до 19.00. С 1 мая по 15 сентября с 10.00 до 19.00.";"7825416563";"1037858007241";"";"";"www.cathedral.ru/saviour";"Филиал";"";"";"Санкт-Петербург, Грибоедова Канала наб, д. 2-а, пом. 8";"";"Музейный комплекс Государственный музей-памятник «Исаакиевский собор»";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Петроградский";"Музей";"Военно-исторический музей артиллерии";"Федеральное государственное учреждение культуры и искусства ""Военно-исторический музей артиллерии, инженерных войск и войск связи"" Министерства обороны Российской Федерации";"Крылов Валерий Михайлович";"197198, г.Санкт-Петербург, Александровский парк, дом 7, литер Г";"610-33-01, 232-02-96";"Музей открыт с 11.00 до 18.00. Выходные дни – понедельник, вторник. Последний четверг месяца – санитарный день";"7813045850";"1037828002740";"";"artillery@yandex.ru";"www.artillery-museum.spb.ru";"Основное, есть филиал";"";"498-07-04";"197198, г.Санкт-Петербург, Александровский парк, дом 7";"";"Главное ракетно-артиллерийское управление Министерства обороны";"Горьковская";"";"муниципальный округ №59";
"Центральный";"Музей";"Таврический дворец";"Таврический дворец";"";"193015, г.Санкт-Петербург, Шпалерная улица, дом 47, литер А";"326-69-11";"";"";"";"";"ltv@iacis.ru";"";"";"";"326-69-31";"";"";"";"Чернышевская";"";"муниципальное образование Смольнинское";
"Василеостровский";"Музей";"Ледокол ""Красин""";"Ледокол ""Красин"", филиал музея Мирового океана в Санкт-Петербурге";"Буров Николай Александрович";"199106, г.Санкт-Петербург, 23-я линия В.О, набережная Лейтенанта Шмидта";"325-35-46, 325-35-47, 305-07-79";"С апреля по ноябрь с 10.00 до 18.00, с декабря по март с 10.00 до 17.00, , Выходные дни: понедельник-вторник, последняя среда месяца";"";"";"";"krassin90@yandex.ru";"http://www.krassin.ru";"Филиал";"";"325-35-47";"г. Москва";"";"Музей Мирового океана";"Василеостровская";"";"";
"Василеостровский";"Музей";"Музей истории школы Карла Мая";"Музей истории школы Карла Ивановича Мая";"Никита Владимирович Благово";"199178, г.Санкт-Петербург, 14-я линия В.О., дом 39, литер А";"323-37-10, 328-33-11";"";"7801003920";"1027800514411";"";"mugirum@iias.spb.su.";"http://www.karlmay.spb.ru";"Филиал";"";"";"Санкт-Петербург, 14-я линия, д. 39";"";"Санкт-Петербургский институт информатики и автоматизации РАН (СПИИРАН)";"Василеостровская";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Музей-институт семьи Рерихов";"Санкт-Петербургское государственное учреждение культуры ""Музей-институт семьи Рерихов""";"Бондаренко Алексей Анатольевич";"199034, г.Санкт-Петербург, 18-я линия В.О., дом 1, литера А,";"323-08-85";"";"7801441899";"";"";"office@roerich.spb.ru";"www.roerich-museum.org";"";"";"323-08-85";"199034, г.Санкт-Петербург, 18-я линия В.О., дом 1, литера А,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Музей-архив Д.И. Менделева";"Музей-архив Д.И. Менделева";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 7-9-11, литер А";"328-97-44";"С понедельника по четверг с 11 до 16 часов. Выходные: ПТ, СБ, ВС. Экскурсии только по предварительной записи";"7801002274";"1037800006089";"";"mendmus@yandex.ru";"http://www.spbu.ru/culture/museums/mendeleev/";"Филиал";"";"";"г.Санкт-Петербург, Университетская набережная, дом 7-9";"";"Санкт-Петербургский Государственный Университет";"Василеостровская";"Вход с Менделеевской линии.";"муниципальный округ №7";
"Василеостровский";"Музей";"Дворец Меншикова.";"Музей ''Дворец Меншикова'', отдел Государственного Эрмитажа";"";"г.Санкт-Петербург, Университетская набережная, дом 15";"323-11-12, 571-34-20";"Вторник - суббота: 10.30 - 18.00, воскресенье: 10.30 - 17.00, выходной день - понедельник";"7830002416";"1037843031808";"";"visitorservices@hermitage.ru";"http://hermitagemuseum.org/html_Ru/03/hm3_9.html";"Филиал";"";"";"Санкт-Петербург, Дворцовая наб, д. 34";"";"Государственный Эрмитаж";"Василеостровская";"";"муниципальный округ №7";
"Петроградский";"Музей";"Скульптурная мастерская М.К.Аникушина";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры"". Скульптурная мастерская М.К.Аникушина";"Тимофеев Владимир Николаевич";"197022, г.Санкт-Петербург, Вяземский переулок, дом 8, литер А";"274-26-35";"";"7825440534";"1037843042632";"";"";"";"Филиал";"";"274-26-35";"193167, г.Санкт-Петербург, Невский проспект, дом 179, литер Б";"";"";"";"";"муниципальный округ №63";
"Центральный";"Музей";"Домик Смотрителя";"Санкт-Петербургское  государственное учреждение культуры """"Государственный мемориальный музей А.В.Суворова"""". Домик Смотрителя";"Кузьмин Александр Иванович";"г.Санкт-Петербург, Кирочная улица, дом 43, литер Б";"274-13-57";"";"7815016767";"1037843078063";"";"";"www.suvorovmuseum.spb.ru";"Филиал";"";"";"193015, г.Санкт-Петербург, Кирочная улица, дом 43, литер А";"";"";"";"";"муниципальное образование Смольнинское";
"Кронштадтский";"Музей";"Музей истории Кронштадта";"Санкт-Петербургское государственное учреждение ""Музей истории Кронштадта"", (Исторический архитектурно-художественный музей г. Кронштадта)";"ГРИШКО ЕВГЕНИЙ ГРИГОРЬЕВИЧ";"197760, Санкт-Петербург, город Кронштадт, Ленинградская улица, дом 2, корпус 1, литер А";"435-0873";"с 10.00 до 18.00 ежедневно, кроме понедельника и последней пятницы каждого месяца, посещение свободное";"7818011421";"1027808868031";"";"kronmus@yandex.ru";"www.museum.ru/M1993";"";"";"";"Санкт-Петербург, Кронштадт г, Якорная пл, дом  2, лит.А";"";"";"";"";"город Кронштадт";
"Центральный";"Музей";"Мемориальный музей-квартира А.С. Пушкина";"Мемориальный музей-квартира А.С. Пушкина, филиал Всероссийского музея А.С.Пушкина";"Некрасов СергеЙ Михайлович";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"571-35-31";"С 10 час. 30 мин. до 18 час. 00 мин. Выходные дни: вторник и последняя пятница месяца.";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"http://museumpushkin.ru/";"Филиал";"";"315-73-79";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"";"Всероссийский музей А.С.Пушкина";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Петродворцовый";"Музей-заповедник";"Парк Александрия";"Парк Александрия. Государственный музей-заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, парк Александрия";"450-52-87, 420-00-73, 450-58-06";"Открыт: 09:00 - 19:00 зимой, 09:00 - 20:00 летом";"7819012731";"1027808916442";"";"samson@peterhofmuseum.ru";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"";
"Петродворцовый";"Музей-заповедник";"Государственный музей-заповедник ""Петергоф""";"Федеральное государственное учреждение культуры Государственный музей-заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, Нижний и Верхний парк";"450-52-87, 420-00-73, 450-58-06, 427-93-30, 450-62-2";"Открыт: 09:00 - 19:00 зимой, 09:00 - 20:00 летом";"7819012731";"1027808916442";"";"samson@peterhofmuseum.ru";"http://peterhofmuseum.ru/";"Основное, есть филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Министерство культуры Российской Федерации";"Ж/д станция ""Новый Петергоф""";"";"";
"Петродворцовый";"Музей";"Павильон ""Каменное зало""";"Павильон ""Каменное зало"". Дворцово-парковый ансамбль Ораниенбаум";"Воротников Виктор Андреевич";"Санкт-Петербург, город Ломоносов, Верхний парк, дом 3б, литер А";"450-52-87";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"www.oranienbaum.org";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"ж/д станция ""Ораниенбаум-1""";"";"город Ломоносов";
"Петродворцовый";"Музей";"Большой дворец";"Большой дворец. Государственный музей-заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, Нижний парк, литер А, (Большой Дворец)";"450-52-87, 420-00-73, 450-58-06";"Открыт: 09:00 - 19:00 зимой, 09:00 - 20:00 летом";"7819012731";"1027808916442";"";"samson@peterhofmuseum.ru";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"";
"Петродворцовый";"Музей";"Коттедж, парк Александрия.";"Коттедж, парк Александрия. Государственный музей-заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, парк Александрия, дом 7, литер А";"450-52-87, 420-00-73, 450-58-06";"Открыт: 10:30 - 17:00 зимой, 10:30 - 18:00 летом";"7819012731";"1027808916442";"";"samson@peterhofmuseum.ru";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей-заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"город Петродворец";
"Центральный";"Музей";"Музей нонконформистского искусства";"Учреждение ""Музей Нонконформистского Искусства"". Арт центр ""Пушкинская-10""";"Орлов Евгений Михайлович";"г.Санкт-Петербург, Пушкинская улица, дом 10";"764-53-71, 764-48-52, 764-9136.";"Среда – воскресенье 15.00 – 19.00, сб. – вернисажный день, пн., вт. – выходные";"7825423183";"1037865006300";"";"nonmuseum@yandex.ru, info@nonmuseum.ru";"http://www.nonmuseum.ru/ru/, http://www.p-10.ru/";"";"";"764-52-07";"191040, г.Санкт-Петербург, Пушкинская улица, дом 10, литер А, (вход с Лиговского пр., 53 под арку)";"";"Региональная общественная организация Товарищество """"Свободная культура""""";"Площадь Восстания, Маяковская";"";"муниципальное образование Владимирский округ";
"Центральный";"Музей";"Музей циркового искусства";"Музей циркового искусства при Большом Санкт-Петербургском цирке";"Шаина Екатерина Юрьевна";"191011, г.Санкт-Петербург, набережная реки Фонтанки, дом 3, литер А";"313-44-13, 570-54-13";"Выставочный зал открыт в дни представлений в цирке. Внимание: только экскурсионное обслуживание по предварительной договоренности";"7803052993";"1027809189242";"1500";"circusmuseum@mail.ru";"www.circus.spb.ru/ru/muzej/";"Филиал";"";"";"191011, г.Санкт-Петербург, набережная реки Фонтанки, дом 3, литер А";"";"Большой Санкт-Петербургский государственный цирк";"Гостиный двор, Невский проспект";"";"муниципальное образование Дворцовый округ";
"Пушкинский";"Музей";"Камеронова галерея";"Камеронова галерея";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 9, литер А";"465-20-16, 465-20-18, 465-53-08, 572-22-27";"Кассы работают с 10.00 до 17.00 час. Выходные дни: понедельник, последний вторник месяца.";"7820012503";"1027809014958";"";"";"";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник """"Царское Село""""";"";"";"город Пушкин";
"Пушкинский";"Музей";"Музей Екатерининского двореца";"Музей Екатерининского двореца";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 3, литер А";"465-20-16, 465-20-18, 465-53-08, 572-22-27";"Кассы работают с 10.00 до 17.00 час.";"7820012503";"1027809014958";"";"";"";"Филиал";"";"";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Государственный Музей-заповедник ""Царское Село""";"";"";"город Пушкин";
"Центральный";"Музей";"Воронцовский дворец";"Архитектурный комплекс «Воронцовский дворец» (Суворовское училище)";"";"191011, г.Санкт-Петербург, Садовая улица, дом 26, литер Д";"610-33-28, 232-02-96";"";"7825336815";"1037865008720";"";"";"";"";"";"";"191011, г.Санкт-Петербург, Садовая улица, дом 26";"";"Санкт-Петербургское суворовское военное училище";"Гостиный двор";"Вход через контрольно-пропускной пункт Суворовского военного училища.";"муниципальный округ №78";
"Адмиралтейский";"Музей";"Центральный Военно-Морской музей МО РФ";"Федеральное государственное учреждение культуры и искусства ""Центральный военно-морской музей"" Министерства обороны Российской Федерации";"Лялин Андрей Яковлевич (ИО)";"";"328-25-01, 328-25-02";"Среда - воскресенье с 11:00 до 18:00. Понедельник, вторник, последний четверг месяца - выходной.";"7801018179";"1037800001777";"";"info@navalmuseum.ru";"www.museum.navy.ru";"Основное, есть филиал";"";"328-25-01";"г.Санкт-Петербург, Биржевая площадь, дом 4";"";"Министерство обороны РФ";"Невский проспект, Адмиралтейская (строится)";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Музей";"Музей Галины Васильевны Старовойтовой";"Санкт-Петербургский общественный фонд """"Музей Галины Васильевны Старовойтовой""""";"";"190000, г.Санкт-Петербург, Большая Морская улица, дом 35, литер М";"314-37-28";"";"7826700665";"1037858007153";"";"galina@starovoitova.ru";"www.starovoitova.ru";"";"";"314-37-28";"Санкт-Петербург, Морская Б. ул, д. 35, пом. 18-Н";"";"Частный музей";"Невский проспект";"";"муниципальное образование Адмиралтейский округ";
"Центральный";"Музей";"Некрополь """"Мастеров искусств""""";"Санкт-Петербургское государственное учреждение """"Государственный музей городской скульптуры""""";"Тимофеев Владимир Никлаевич";"191167, г.Санкт-Петербург, площадь Александра Невского, дом 1";"2742635";"";"7825440534";"1037843042632";"";"monument@gmgs.spb.ru";"http://www.gmgs.ru, www.museum.ru/M111";"Филиал";"";"2742635";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Александра Невского";"";"муниципальное образование Лиговка-Ямская";
"Петроградский";"Музей";"Русский гальванопластический музей";"Русский гальванопластический музей";"";"197022, г.Санкт-Петербург, Песочная набережная, дом 16, литер А";"273-31-47";"";"7812012242";"1037858020650";"";"";"";"Филиал";"";"273-31-47";"Санкт-Петербург, Морская Б. ул, д. 38";"";"СПб Союз художников";"Черная речка, Петроградская";"";"муниципальный округ №63";
"Адмиралтейский";"Музей";"Исаакиевский собор";"Государственный музей-памятник «Исаакиевский собор»";"Буров Николай Витальевич";"190000, г.Санкт-Петербург, Исаакиевская площадь, дом 4, литер А";"315-43-61, 315-97-32";"Музей работает ежедневно, кроме среды. С 16 сентября по 30 апреля – с 11.00 до 19.00. С 1 мая по 15 сентября с 10.00 до 19.00.";"7825416563";"1037858007241";"";"inter@cathedral.ru, excursisaak@cathedral.ru";"www.cathedral.ru";"Филиал";"";"312-28-11, 315-97-32";"Санкт-Петербург, Грибоедова Канала наб, д. 2-а, пом. 8";"";"Музейный комплекс Государственный музей-памятник «Исаакиевский собор»";"Невский проспект, Садовая, Адмиралтейская";"";"муниципальное образование Адмиралтейский округ";
"Адмиралтейский";"Музей";"Музей В.В.Набокова";"Негосударственное учреждение ""Санкт-Петербургский музей В.В. Набокова""";"Пономарева Татьяна Олеговна";"190000, г.Санкт-Петербург, Большая Морская улица, дом 47, литер А";"315-47-13";"Вторник – Пятница: 11-18. Суббота, воскресенье: 12-17. Выходной день - понедельник";"7826682896";"1037851035573";"";"museum@nabokovmuseum.org";"www.nabokovmuseum.org";"";"";"571-45-02";"г.Санкт-Петербург, Большая Морская улица, дом 47";"";"Культурнопросветительный и благотворительный ""Набоковский фонд""";"Гостиный Двор, Невский проспект";"";"муниципальное образование Адмиралтейский округ";
"Василеостровский";"Музей";"Мемориальный музей-квартира академика И.П.Павлова";"Мемориальный музей-квартира академика И.П.Павлова Института физиологии им. И.П.Павлова РАН";"Космачевская Эмма Андреевна";"199034, г.Санкт-Петербург, 7-я линия В.О., дом 2/1, литер А, кв.11";"323-72-34";"Понедельник, среда, пятница с 11.00 до 17.00. Только экскурсионное обслуживание";"7801022898";"1037800014823";"";"tch@infran.ru, museum@infran.ru";"www.museum.infran.ru";"Филиал";"";"323-72-34";"Санкт-Петербург, Макарова наб, д. 6";"";"Институт физиологии им. И.П.Павлова РАН";"Василеостровская";"";"муниципальный округ №7";
"Кировский";"Музей";"Музей ""Нарвская застава""";"Санкт-Петербургское государственное учреждение ""Музей ""Нарвская застава""";"Дементьева Нина Александровна";"г.Санкт-Петербург, улица Ивана Черных, дом 23, литер А";"252-13-41, 252-40-48";"Ежедневно с 10.00 до 18.00, кроме субботы и воскресенья";"7805039099";"1037811040354";"";"M196@mail.museum.ru";"http://ftp.museum.ru/M196";"Основное, есть филиал";"";"252-13-41";"г.Санкт-Петербург, улица Ивана Черных, дом 23, литер А";"";"Государственное";"Нарвская";"";"муниципальный округ №29";
"Петроградский";"Музей";"Ботанический музей";"Ботанический Музей Ботанического института им. В.Л.Комарова (РАН)";"Ярмишко Василий Трофимович (Николаев В.А.)";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 2, литер П";"234-06-73, 234-17-64";"Выходной день – пятница.";"7813045480";"1037828001199";"";"botmuseum@yandex.ru";"http://www.binran.spb.ru/botmus/index.htm, www.binran.ru";"Филиал";"";"";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 2";"";"Учреждение Российской академии наук Ботанический институт им. В. Л. Комарова РАН";"Петроградская";"";"муниципальный округ №61";
"Петроградский";"Музей-заповедник";"Ботанический сад";"Ботанический сад Ботанического института им. В.Л.Комарова (РАН)";"Ярмишко Василий Трофимович (Николаев В.А.)";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 2, литер П";"234-06-73, 234-17-64";"Выходной день – пятница.";"7813045480";"1037828001199";"";"botmuseum@yandex.ru";"http://www.binran.spb.ru/botmus/index.htm, www.binran.ru";"Филиал";"";"";"";"";"Учреждение Российской академии наук Ботанический институт им. В. Л. Комарова РАН";"Петроградская";"";"муниципальный округ №61";
"Центральный";"Музей";"Музей восковых фигур";"Музей восковых фигур";"Гребенюк Евгений Николаевич";"191025, г.Санкт-Петербург, Невский проспект, дом 41, литер А";"422-9921";"";"7819005100";"1027808918290";"";"";"www.museum.ru/M506";"Филиал";"";"422-9921";"Санкт-Петербург, Ломоносов г, Александровская ул, д. 37а, лит. А";"";"Производственный кооператив ""Исторический музей восковых фигур""";"Невский проспект, Гостинный двор, Маяковская, Площадь Восстания";"";"муниципальное образование Владимирский округ";
